2022-06-16 11:20:00,745 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:25:19,868 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:25:19,937 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 11:25:20,060 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:27:58,810 |$| ERROR |$| File:db.py |$| Line:979 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 11:28:00,374 |$| ERROR |$| File:db.py |$| Line:998 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 11:28:03,882 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 11:28:04,688 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:28:04,753 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 11:28:04,829 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:29:28,119 |$| ERROR |$| File:db.py |$| Line:979 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 11:29:29,526 |$| ERROR |$| File:db.py |$| Line:998 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 11:29:32,597 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 11:29:33,471 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:29:33,529 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 11:29:33,598 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:29:43,599 |$| ERROR |$| File:db.py |$| Line:839 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 11:29:44,468 |$| ERROR |$| File:db.py |$| Line:792 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 11:29:44,497 |$| ERROR |$| File:db.py |$| Line:792 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 11:29:46,921 |$| ERROR |$| File:db.py |$| Line:724 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 11:29:46,936 |$| ERROR |$| File:db.py |$| Line:724 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 11:29:50,492 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:29:50,493 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 11:29:50,495 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 11:29:56,200 |$| ERROR |$| File:db.py |$| Line:920 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 11:29:57,275 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 11:29:57,291 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 11:29:58,390 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:29:58,391 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 11:30:21,871 |$| ERROR |$| File:db.py |$| Line:979 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 11:30:22,774 |$| ERROR |$| File:db.py |$| Line:998 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 11:30:27,167 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 11:30:27,897 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:30:27,997 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 11:30:28,092 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:30:37,027 |$| ERROR |$| File:db.py |$| Line:839 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 11:30:37,889 |$| ERROR |$| File:db.py |$| Line:792 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 11:30:37,917 |$| ERROR |$| File:db.py |$| Line:792 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 11:30:40,737 |$| ERROR |$| File:db.py |$| Line:724 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 11:30:40,753 |$| ERROR |$| File:db.py |$| Line:724 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 11:30:44,238 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:30:44,239 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 11:30:44,241 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 11:30:55,712 |$| ERROR |$| File:db.py |$| Line:920 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 11:30:57,175 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 11:30:57,190 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 11:30:58,282 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:30:58,283 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 11:31:44,857 |$| ERROR |$| File:db.py |$| Line:979 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 11:31:45,970 |$| ERROR |$| File:db.py |$| Line:998 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 11:31:49,059 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 11:31:49,767 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:31:49,835 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 11:31:50,008 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 11:32:05,352 |$| ERROR |$| File:db.py |$| Line:839 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 11:32:06,801 |$| ERROR |$| File:db.py |$| Line:792 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 11:32:06,830 |$| ERROR |$| File:db.py |$| Line:792 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 11:32:09,620 |$| ERROR |$| File:db.py |$| Line:724 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 11:32:09,635 |$| ERROR |$| File:db.py |$| Line:724 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 11:32:13,177 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:32:13,180 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 11:32:13,181 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 11:32:18,298 |$| ERROR |$| File:db.py |$| Line:920 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 11:32:19,134 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 11:32:19,149 |$| ERROR |$| File:db.py |$| Line:963 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 11:32:20,186 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 11:32:20,188 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 12:16:46,102 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 12:16:46,920 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 12:16:51,021 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 12:16:51,998 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 12:16:52,098 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 12:16:52,335 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 12:17:05,566 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 12:17:06,560 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 12:17:06,589 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 12:17:09,437 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 12:17:09,450 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 12:17:12,469 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 12:17:12,471 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 12:17:12,472 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 12:17:20,924 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 12:17:22,754 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 12:17:22,771 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 12:17:24,558 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 12:17:24,560 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 12:20:50,110 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 12:20:50,864 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 12:20:53,904 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 12:20:55,902 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 12:20:55,979 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 12:20:56,086 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 12:21:04,277 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 12:21:06,066 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 12:21:06,094 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 12:21:10,033 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 12:21:10,047 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 12:21:18,931 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 12:21:18,932 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 12:21:18,934 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 12:21:24,736 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 12:21:27,991 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 12:21:28,006 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 12:21:29,337 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 12:21:29,339 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 12:22:55,010 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 12:22:55,899 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 12:22:58,967 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 12:22:59,711 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 12:22:59,782 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 12:22:59,873 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 12:23:10,174 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 12:23:11,492 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 12:23:11,521 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 12:23:14,313 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 12:23:14,328 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 12:23:17,041 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 12:23:17,043 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'last_name' doesn't have a default value'
2022-06-16 12:23:17,044 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'extra_column' in 'field list''
2022-06-16 12:23:23,615 |$| ERROR |$| File:db.py |$| Line:919 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE customer_id = 2' at line 1'
2022-06-16 12:23:24,504 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'WHERE age > '34'' at line 1'
2022-06-16 12:23:24,519 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 12:23:25,627 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
2022-06-16 12:23:25,628 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1054 (42S22): Unknown column 'NOT_A_COLUMN' in 'field list''
2022-06-16 15:04:21,098 |$| ERROR |$| File:db.py |$| Line:978 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) quantity = quantity + 2 WHERE order_id = '7'' at line 1'
2022-06-16 15:04:22,546 |$| ERROR |$| File:db.py |$| Line:997 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(INVALID QUERY) WHERE last_name = 'p%'' at line 1'
2022-06-16 15:04:25,660 |$| ERROR |$| File:db.py |$| Line:962 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'This doesn't make sense' at line 1'
2022-06-16 15:04:26,409 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:04:26,536 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1146 (42S02): Table 'store.None' doesn't exist'
2022-06-16 15:04:26,654 |$| ERROR |$| File:db.py |$| Line:423 |$| Error: '1049 (42000): Unknown database 'None''
2022-06-16 15:04:37,465 |$| ERROR |$| File:db.py |$| Line:838 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '2'' AND is_deleted=0' at line 1'
2022-06-16 15:04:38,352 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '= '2' AND is_deleted='0'' at line 1'
2022-06-16 15:04:38,379 |$| ERROR |$| File:db.py |$| Line:791 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'shouldn't make sense AND is_deleted='0'' at line 1'
2022-06-16 15:04:41,317 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1054 (42S22): Unknown column 'not_a_column' in 'where clause''
2022-06-16 15:04:41,330 |$| ERROR |$| File:db.py |$| Line:723 |$| Error: '1064 (42000): You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '='4' AND is_deleted=0' at line 1'
2022-06-16 15:04:44,578 |$| ERROR |$| File:db.py |$| Line:453 |$| Error: '1364 (HY000): Field 'first_name' doesn't have a default value'
